caseId,justice,term,direction,precedentAlteration,issueArea,lawType,caseOriginState
1990-002,107,1990,2,0,9,4,0
1990-003,107,1990,1,0,10,0,0
1990-004,107,1990,1,0,10,0,0
1990-007,107,1990,2,0,1,2,22
1990-008,107,1990,1,0,1,2,0
1990-014,107,1990,2,0,10,3,51
1990-016,107,1990,2,0,7,3,0
1990-017,107,1990,1,0,2,4,0
1990-018,107,1990,2,0,1,6,0
1990-020,107,1990,1,0,9,3,0
1990-021,107,1990,2,0,6,6,0
1990-023,107,1990,2,0,9,4,0
1990-024,107,1990,1,0,8,3,0
1990-025,107,1990,1,0,1,4,0
1990-026,107,1990,2,0,1,2,0
1990-028,107,1990,1,0,9,0,41
1990-029,107,1990,2,0,8,3,0
1990-031,107,1990,1,0,1,6,0
1990-032,107,1990,2,0,9,0,13
1990-034,107,1990,2,0,1,0,0
1990-035,107,1990,2,0,1,3,0
1990-036,107,1990,2,0,2,3,32
1990-037,107,1990,1,0,7,3,0
1990-038,107,1990,2,0,9,3,0
1990-039,107,1990,1,0,2,0,0
1990-040,107,1990,1,0,9,6,0
1990-041,107,1990,2,0,9,4,0
1990-043,107,1990,2,0,7,0,0
1990-044,107,1990,1,0,6,3,0
1990-045,107,1990,1,0,8,3,0
1990-046,107,1990,1,0,7,3,0
1990-047,107,1990,2,0,8,3,0
1990-048,107,1990,2,0,2,3,0
1990-049,107,1990,2,0,9,0,0
1990-050,107,1990,1,0,2,3,0
1990-051,107,1990,1,1,1,2,4
1990-053,107,1990,2,0,8,3,0
1990-054,107,1990,2,0,8,6,0
1990-055,107,1990,1,0,8,3,0
1990-056,107,1990,2,0,2,2,41
1990-057,107,1990,1,0,6,3,0
1990-058,107,1990,1,0,3,2,5
1990-059,107,1990,1,0,1,3,0
1990-060,107,1990,1,0,8,5,0
1990-061,107,1990,1,0,12,3,0
1990-062,107,1990,1,0,12,3,0
1990-063,107,1990,1,0,8,0,0
1990-064,107,1990,2,0,7,3,0
1990-065,107,1990,1,0,1,2,6
1990-066,107,1990,2,0,2,3,0
1990-067,107,1990,1,0,2,0,0
1990-068,107,1990,1,0,7,3,0
1990-069,107,1990,1,0,1,1,0
1990-070,107,1990,2,0,9,1,0
1990-071,107,1990,2,0,8,4,0
1990-072,107,1990,1,0,1,2,16
1990-073,107,1990,1,0,4,6,0
1990-074,107,1990,1,0,1,2,27
1990-075,107,1990,1,0,1,1,0
1990-077,107,1990,1,0,5,6,0
1990-078,107,1990,2,0,8,0,0
1990-079,107,1990,1,0,1,2,12
1990-080,107,1990,1,0,8,6,0
1990-081,107,1990,2,0,8,3,0
1990-082,107,1990,2,0,8,3,0
1990-083,107,1990,1,0,8,3,0
1990-084,107,1990,2,0,1,6,0
1990-085,107,1990,1,0,2,2,37
1990-087,107,1990,2,0,1,0,48
1990-088,107,1990,1,0,1,2,55
1990-089,107,1990,1,0,1,6,0
1990-090,107,1990,2,0,2,3,0
1990-091,107,1990,1,0,7,2,0
1990-092,107,1990,1,1,1,2,6
1990-093,107,1990,2,1,9,6,0
1990-094,107,1990,2,0,2,2,0
1990-095,107,1990,2,0,2,3,0
1990-096,107,1990,2,0,2,2,0
1990-097,107,1990,1,0,9,0,0
1990-098,107,1990,2,0,8,3,0
1990-099,107,1990,2,0,9,3,0
1990-100,107,1990,2,0,2,3,0
1990-101,107,1990,2,0,9,3,0
1990-102,107,1990,1,0,1,4,0
1990-103,107,1990,2,0,8,3,0
1990-104,107,1990,1,0,1,2,58
1990-105,107,1990,1,0,7,3,0
1990-108,107,1990,1,0,1,2,0
1990-109,107,1990,1,0,9,1,0
1990-110,107,1990,2,0,8,3,0
1990-111,107,1990,2,0,2,3,0
1990-112,107,1990,2,0,2,3,0
1990-113,107,1990,1,0,1,2,12
1990-114,107,1990,1,0,2,3,0
1990-115,107,1990,2,0,3,2,0
1990-116,107,1990,2,0,10,0,13
1990-117,107,1990,1,0,3,2,0
1990-118,107,1990,1,0,10,3,58
1990-119,107,1990,1,0,4,2,4
1990-120,107,1990,2,0,3,2,28
1990-121,107,1990,1,0,9,6,0
1990-122,107,1990,1,1,1,0,0
1990-123,107,1990,1,0,8,2,0
1990-124,107,1990,1,0,1,0,0
1990-125,107,1990,1,1,1,2,50
1990-127,107,1990,1,0,1,6,0
1990-128,107,1990,1,0,1,2,27
1990-129,107,1990,1,0,3,2,33
1990-131,107,1990,1,0,8,3,0
1991-001,107,1991,1,0,1,6,0
1991-002,107,1991,1,0,2,3,0
1991-003,107,1991,1,0,2,4,0
1991-004,107,1991,2,0,2,3,0
1991-005,107,1991,1,0,9,6,0
1991-006,107,1991,1,0,4,2,0
1991-007,107,1991,1,0,1,2,0
1991-008,107,1991,2,0,8,3,0
1991-009,107,1991,2,0,1,3,0
1991-010,107,1991,1,0,9,5,12
1991-011,107,1991,2,0,3,2,0
1991-012,107,1991,1,0,6,3,0
1991-013,107,1991,1,0,8,3,0
1991-014,107,1991,1,0,5,3,0
1991-015,107,1991,1,0,2,3,0
1991-016,107,1991,1,0,8,3,48
1991-017,107,1991,2,0,2,6,0
1991-018,107,1991,2,0,8,6,0
1991-019,107,1991,1,0,1,0,0
1991-020,107,1991,2,0,9,4,0
1991-021,107,1991,2,0,2,6,0
1991-022,107,1991,2,0,2,2,17
1991-023,107,1991,1,0,8,3,0
1991-024,107,1991,2,0,1,0,0
1991-025,107,1991,1,0,1,2,17
1991-026,107,1991,1,0,4,4,0
1991-027,107,1991,2,0,8,3,0
1991-028,107,1991,2,0,9,1,0
1991-029,107,1991,1,0,2,3,0
1991-030,107,1991,1,0,2,3,0
1991-031,107,1991,1,0,7,3,0
1991-032,107,1991,2,0,1,2,0
1991-033,107,1991,1,0,8,3,0
1991-034,107,1991,2,0,12,3,0
1991-035,107,1991,2,0,2,3,0
1991-036,107,1991,2,0,12,3,0
1991-037,107,1991,2,0,8,3,0
1991-038,107,1991,1,0,2,3,0
1991-039,107,1991,2,0,9,4,0
1991-040,107,1991,2,0,9,0,0
1991-041,107,1991,2,0,3,2,9
1991-042,107,1991,2,0,8,1,27
1991-043,107,1991,2,0,1,6,0
1991-044,107,1991,1,0,1,0,0
1991-045,107,1991,2,0,9,6,0
1991-046,107,1991,1,0,9,0,0
1991-047,107,1991,1,0,9,3,0
1991-048,107,1991,1,0,2,6,0
1991-049,107,1991,1,0,8,3,0
1991-050,107,1991,1,0,1,6,0
1991-051,107,1991,1,0,9,3,0
1991-052,107,1991,1,0,1,2,0
1991-053,107,1991,2,0,8,3,0
1991-054,107,1991,1,0,9,6,0
1991-055,107,1991,1,0,8,1,0
1991-056,107,1991,2,0,2,1,0
1991-057,107,1991,1,0,2,0,0
1991-058,107,1991,2,0,4,2,6
1991-059,107,1991,2,0,1,0,0
1991-060,107,1991,2,0,9,0,51
1991-061,107,1991,2,0,10,6,0
1991-062,107,1991,2,0,10,6,20
1991-063,107,1991,1,0,8,3,0
1991-064,107,1991,2,0,8,3,0
1991-065,107,1991,1,0,1,0,0
1991-066,107,1991,1,1,1,0,0
1991-067,107,1991,1,0,2,6,0
1991-068,107,1991,1,0,1,0,0
1991-069,107,1991,2,0,4,2,22
1991-070,107,1991,2,0,1,2,33
1991-071,107,1991,1,0,2,3,0
1991-072,107,1991,1,0,1,6,0
1991-073,107,1991,2,0,1,0,0
1991-074,107,1991,2,0,3,2,50
1991-075,107,1991,2,0,12,3,0
1991-076,107,1991,2,0,8,6,0
1991-077,107,1991,1,1,8,2,39
1991-078,107,1991,1,0,8,1,1
1991-079,107,1991,1,0,8,1,0
1991-081,107,1991,1,0,2,2,0
1991-082,107,1991,2,0,8,4,0
1991-083,107,1991,1,0,12,6,0
1991-084,107,1991,2,0,1,2,12
1991-085,107,1991,1,0,9,1,0
1991-086,107,1991,2,0,9,6,0
1991-087,107,1991,2,0,8,0,0
1991-088,107,1991,2,0,9,2,31
1991-089,107,1991,1,0,1,5,0
1991-090,107,1991,2,0,2,6,0
1991-091,107,1991,2,0,1,2,17
1991-092,107,1991,2,0,8,3,0
1991-093,107,1991,1,0,8,1,35
1991-094,107,1991,2,0,8,2,6
1991-095,107,1991,2,0,2,2,13
1991-096,107,1991,1,0,8,1,19
1991-097,107,1991,2,0,8,3,0
1991-098,107,1991,2,0,3,2,0
1991-099,107,1991,1,0,10,1,0
1991-100,107,1991,2,0,8,6,58
1991-101,107,1991,2,0,9,6,0
1991-102,107,1991,1,0,1,0,0
1991-103,107,1991,1,0,1,4,0
1991-104,107,1991,1,0,1,0,0
1991-105,107,1991,2,0,3,2,28
1991-106,107,1991,1,0,4,2,6
1991-107,107,1991,1,0,8,3,0
1991-108,107,1991,1,0,10,6,0
1991-109,107,1991,1,0,6,3,0
1991-110,107,1991,2,0,3,2,0
1991-111,107,1991,2,0,1,2,0
1991-112,107,1991,2,0,3,2,0
1991-113,107,1991,2,0,2,2,0
1991-114,107,1991,1,0,8,6,0
1991-115,107,1991,1,0,9,3,0
1991-116,107,1991,2,0,3,2,0
1991-117,107,1991,2,1,5,2,0
1991-119,107,1991,2,0,1,2,12
1991-120,107,1991,1,0,5,0,0
1992-001,107,1992,1,0,2,4,0
1992-002,107,1992,1,0,9,5,31
1992-003,107,1992,2,0,9,0,0
1992-004,107,1992,1,0,9,5,0
1992-005,107,1992,1,0,1,2,0
1992-006,107,1992,2,0,1,2,0
1992-007,107,1992,2,0,1,2,0
1992-008,107,1992,2,0,9,6,0
1992-009,107,1992,2,0,9,1,0
1992-010,107,1992,2,0,6,3,0
1992-011,107,1992,2,0,10,3,0
1992-012,107,1992,2,0,9,0,0
1992-013,107,1992,2,0,8,3,0
1992-014,107,1992,2,0,12,3,0
1992-015,107,1992,1,0,2,6,0
1992-016,107,1992,1,0,9,0,0
1992-017,107,1992,2,0,1,4,0
1992-018,107,1992,1,0,2,3,0
1992-019,107,1992,2,0,1,0,0
1992-020,107,1992,1,0,1,2,0
1992-021,107,1992,2,0,1,2,0
1992-022,107,1992,1,0,8,3,0
1992-023,107,1992,2,0,1,0,0
1992-024,107,1992,2,0,12,3,0
1992-025,107,1992,1,0,1,4,0
1992-026,107,1992,2,0,12,3,0
1992-027,107,1992,1,0,1,2,0
1992-029,107,1992,1,0,9,3,0
1992-030,107,1992,1,0,1,6,27
1992-031,107,1992,2,0,8,1,50
1992-032,107,1992,1,0,1,6,0
1992-033,107,1992,1,0,2,6,0
1992-034,107,1992,2,0,1,6,0
1992-035,107,1992,1,0,2,3,0
1992-036,107,1992,2,0,2,4,0
1992-037,107,1992,2,0,8,3,0
1992-038,107,1992,2,0,8,3,0
1992-039,107,1992,1,0,10,3,0
1992-040,107,1992,2,0,1,0,0
1992-041,107,1992,2,0,9,3,0
1992-042,107,1992,1,0,1,2,0
1992-043,107,1992,1,0,2,4,0
1992-044,107,1992,1,0,2,2,0
1992-045,107,1992,2,0,8,6,0
1992-046,107,1992,2,0,8,3,0
1992-047,107,1992,2,0,3,2,0
1992-048,107,1992,2,0,12,3,0
1992-049,107,1992,1,0,1,2,0
1992-051,107,1992,2,0,2,6,23
1992-052,107,1992,2,0,10,6,0
1992-053,107,1992,1,0,9,0,0
1992-054,107,1992,2,0,12,3,0
1992-056,107,1992,1,0,2,3,0
1992-057,107,1992,2,0,1,0,0
1992-058,107,1992,1,0,10,6,0
1992-059,107,1992,2,0,1,0,0
1992-060,107,1992,1,0,1,4,0
1992-061,107,1992,1,0,9,0,0
1992-062,107,1992,2,0,3,2,0
1992-063,107,1992,2,0,10,6,16
1992-064,107,1992,2,0,2,6,0
1992-065,107,1992,1,0,7,3,0
1992-066,107,1992,2,0,1,6,0
1992-067,107,1992,2,0,8,0,0
1992-068,107,1992,1,0,1,0,0
1992-069,107,1992,2,0,9,0,0
1992-070,107,1992,1,0,9,3,0
1992-071,107,1992,2,0,2,6,0
1992-072,107,1992,1,0,1,6,0
1992-073,107,1992,2,0,3,2,46
1992-074,107,1992,2,0,12,3,0
1992-075,107,1992,2,0,5,3,0
1992-076,107,1992,1,0,9,3,0
1992-077,107,1992,1,0,9,6,0
1992-078,107,1992,2,0,1,6,0
1992-079,107,1992,1,0,8,3,0
1992-080,107,1992,2,0,1,2,22
1992-081,107,1992,2,0,8,3,0
1992-082,107,1992,2,0,8,3,0
1992-083,107,1992,1,0,8,3,0
1992-084,107,1992,1,0,1,0,0
1992-085,107,1992,1,0,1,2,28
1992-086,107,1992,2,0,3,2,0
1992-087,107,1992,2,0,9,3,0
1992-088,107,1992,2,0,8,0,0
1992-089,107,1992,1,0,9,6,0
1992-090,107,1992,1,0,8,3,0
1992-091,107,1992,1,0,3,2,58
1992-092,107,1992,1,0,10,6,0
1992-093,107,1992,2,0,3,2,0
1992-094,107,1992,2,0,7,3,0
1992-095,107,1992,2,0,8,3,0
1992-096,107,1992,2,0,9,1,0
1992-097,107,1992,2,0,2,6,0
1992-098,107,1992,2,0,3,2,0
1992-099,107,1992,2,0,1,2,0
1992-100,107,1992,1,0,9,3,0
1992-101,107,1992,2,0,10,8,55
1992-102,107,1992,2,0,9,3,0
1992-103,107,1992,1,0,2,3,0
1992-104,107,1992,1,0,8,3,0
1992-105,107,1992,1,0,2,3,0
1992-106,107,1992,2,0,6,3,0
1992-107,107,1992,2,0,4,2,0
1992-108,107,1992,2,0,1,2,51
1992-109,107,1992,1,0,1,0,0
1992-110,107,1992,1,0,3,3,0
1992-111,107,1992,1,0,8,2,57
1992-112,107,1992,2,0,2,3,0
1992-113,107,1992,2,0,3,2,0
1992-114,107,1992,2,0,9,4,0
1992-115,107,1992,2,0,1,6,0
1992-116,107,1992,2,0,2,2,0
1992-117,107,1992,2,1,1,2,10
1992-119,107,1992,2,0,8,6,0
1992-120,107,1992,2,0,1,0,0
1993-001,107,1993,1,0,2,4,0
1993-002,107,1993,1,0,2,4,0
1993-003,107,1993,2,0,2,3,0
1993-004,107,1993,2,0,2,3,0
1993-005,107,1993,1,0,9,4,0
1993-006,107,1993,1,0,9,0,0
1993-007,107,1993,2,0,4,2,0
1993-008,107,1993,2,0,8,3,0
1993-009,107,1993,1,0,9,0,50
1993-011,107,1993,2,0,1,0,0
1993-012,107,1993,2,0,1,6,0
1993-013,107,1993,1,0,2,1,0
1993-014,107,1993,1,0,9,6,0
1993-015,107,1993,1,0,1,2,0
1993-016,107,1993,2,0,5,3,0
1993-017,107,1993,1,0,2,2,0
1993-018,107,1993,1,0,9,0,0
1993-019,107,1993,2,0,8,6,0
1993-020,107,1993,1,0,10,6,0
1993-021,107,1993,1,0,1,0,0
1993-022,107,1993,2,0,2,6,52
1993-023,107,1993,1,0,10,3,22
1993-024,107,1993,2,0,8,3,0
1993-025,107,1993,2,0,5,3,0
1993-026,107,1993,2,0,9,0,0
1993-027,107,1993,2,0,6,6,0
1993-028,107,1993,1,0,4,6,0
1993-029,107,1993,2,0,8,6,0
1993-030,107,1993,2,0,1,2,32
1993-031,107,1993,2,0,1,6,0
1993-032,107,1993,2,0,1,0,33
1993-033,107,1993,1,0,8,1,43
1993-034,107,1993,1,0,9,0,0
1993-035,107,1993,2,0,2,2,1
1993-036,107,1993,2,0,8,3,0
1993-037,107,1993,2,0,8,0,0
1993-038,107,1993,2,0,8,0,0
1993-039,107,1993,2,0,12,3,0
1993-040,107,1993,1,0,2,3,0
1993-041,107,1993,1,0,2,3,0
1993-042,107,1993,2,0,1,2,6
1993-043,107,1993,2,0,8,6,0
1993-044,107,1993,1,0,1,6,0
1993-045,107,1993,1,0,2,0,0
1993-046,107,1993,1,0,1,6,0
1993-047,107,1993,1,0,9,0,0
1993-048,107,1993,2,0,8,1,37
1993-049,107,1993,2,0,8,3,0
1993-050,107,1993,1,0,9,6,0
1993-051,107,1993,2,0,1,6,0
1993-052,107,1993,1,0,1,6,0
1993-053,107,1993,2,0,8,3,0
1993-054,107,1993,2,0,7,3,0
1993-055,107,1993,2,0,1,6,0
1993-056,107,1993,1,0,8,1,30
1993-058,107,1993,2,0,2,3,0
1993-059,107,1993,1,0,3,2,0
1993-060,107,1993,2,0,8,3,56
1993-061,107,1993,1,1,1,2,0
1993-062,107,1993,2,0,1,2,0
1993-063,107,1993,2,0,8,6,0
1993-064,107,1993,1,0,1,2,0
1993-065,107,1993,1,0,9,6,0
1993-066,107,1993,2,0,1,2,42
1993-067,107,1993,2,0,12,3,0
1993-068,107,1993,2,0,3,2,0
1993-069,107,1993,1,0,2,6,37
1993-070,107,1993,1,0,10,6,0
1993-071,107,1993,2,0,8,3,0
1993-072,107,1993,2,0,10,3,0
1993-073,107,1993,2,0,6,2,12
1993-074,107,1993,2,0,1,2,48
1993-075,107,1993,2,0,8,1,26
1993-076,107,1993,2,0,8,3,0
1993-077,107,1993,1,0,10,3,15
1993-078,107,1993,2,1,8,3,0
1993-079,107,1993,2,0,8,1,6
1993-080,107,1993,2,0,1,3,0
1993-081,107,1993,2,0,4,2,43
1993-082,107,1993,1,0,8,2,43
1993-083,107,1993,1,0,1,0,0
1993-084,107,1993,1,0,2,3,0
1993-085,107,1993,1,0,9,3,0
1993-086,107,1993,1,0,8,3,0
1993-087,107,1993,1,0,1,6,0
1993-088,107,1993,2,0,1,4,0
1993-089,107,1993,1,0,3,6,0
1993-090,107,1993,2,0,3,2,37
1993-091,107,1993,2,0,5,2,12
1993-092,107,1993,2,0,1,0,55
1993-093,107,1993,2,0,1,6,0
1993-094,107,1993,2,0,2,3,0
1993-095,107,1993,1,0,1,2,6
1993-096,107,1993,2,0,2,3,0
1994-001,107,1994,1,0,2,4,0
1994-002,107,1994,1,0,2,6,0
1994-003,107,1994,1,0,1,6,0
1994-004,107,1994,2,0,9,0,0
1994-005,107,1994,1,0,8,2,0
1994-006,107,1994,2,0,3,6,0
1994-007,107,1994,1,0,9,6,0
1994-008,107,1994,1,0,8,2,13
1994-009,107,1994,2,0,2,6,0
1994-010,107,1994,1,0,10,6,32
1994-011,107,1994,1,0,9,3,0
1994-012,107,1994,2,0,1,4,0
1994-013,107,1994,1,0,8,6,0
1994-014,107,1994,2,0,1,4,0
1994-015,107,1994,2,0,10,6,17
1994-016,107,1994,1,0,9,6,0
1994-017,107,1994,2,0,10,6,1
1994-018,107,1994,2,0,1,3,0
1994-019,107,1994,2,0,2,3,0
1994-020,107,1994,1,0,1,3,0
1994-021,107,1994,2,0,3,2,0
1994-022,107,1994,1,0,8,3,0
1994-023,107,1994,2,0,1,3,0
1994-024,107,1994,2,0,3,2,0
1994-025,107,1994,1,0,1,2,1
1994-026,107,1994,2,0,9,6,0
1994-027,107,1994,1,0,9,1,0
1994-028,107,1994,1,0,8,3,0
1994-029,107,1994,1,0,1,5,4
1994-030,107,1994,1,0,9,0,0
1994-031,107,1994,2,0,8,6,0
1994-032,107,1994,1,0,8,3,0
1994-033,107,1994,2,0,9,3,0
1994-034,107,1994,1,0,1,0,0
1994-035,107,1994,1,0,9,3,0
1994-036,107,1994,1,0,2,3,0
1994-037,107,1994,1,0,8,6,0
1994-038,107,1994,2,0,8,1,0
1994-039,107,1994,1,0,2,4,6
1994-041,107,1994,2,0,8,6,0
1994-042,107,1994,1,0,10,6,0
1994-043,107,1994,2,0,8,6,0
1994-044,107,1994,1,0,9,6,0
1994-045,107,1994,2,0,3,2,41
1994-046,107,1994,2,0,2,3,0
1994-047,107,1994,2,0,1,0,0
1994-048,107,1994,2,0,3,6,0
1994-049,107,1994,2,0,1,1,0
1994-050,107,1994,1,0,12,3,0
1994-051,107,1994,2,0,10,6,0
1994-052,107,1994,1,0,10,3,0
1994-053,107,1994,1,0,1,3,0
1994-055,107,1994,1,1,1,6,0
1994-056,107,1994,2,0,2,3,0
1994-057,107,1994,2,0,4,1,41
1994-058,107,1994,1,0,2,0,0
1994-059,107,1994,2,0,10,1,5
1994-060,107,1994,2,0,1,2,5
1994-061,107,1994,2,0,8,6,0
1994-063,107,1994,1,0,1,6,0
1994-064,107,1994,2,0,1,3,0
1994-065,107,1994,1,0,1,6,0
1994-066,107,1994,2,0,2,0,0
1994-067,107,1994,2,0,2,1,0
1994-068,107,1994,1,0,8,0,0
1994-069,107,1994,2,1,2,2,0
1994-070,107,1994,2,0,9,6,0
1994-071,107,1994,1,0,8,3,0
1994-072,107,1994,1,0,9,6,0
1994-073,107,1994,2,0,9,0,0
1994-074,107,1994,1,0,12,3,0
1994-075,107,1994,2,0,8,3,0
1994-076,107,1994,1,0,1,2,0
1994-077,107,1994,1,0,9,6,0
1994-078,107,1994,2,0,2,6,0
1994-080,107,1994,2,0,4,2,0
1994-081,107,1994,2,1,1,2,0
1994-082,107,1994,1,0,8,6,0
1994-083,107,1994,2,0,3,2,26
1994-084,107,1994,1,0,9,3,42
1994-085,107,1994,2,0,1,6,0
1994-086,107,1994,2,0,6,2,0
1994-087,107,1994,2,0,5,2,0
1994-088,107,1994,2,0,8,6,0
1994-089,107,1994,1,0,9,1,0
1994-090,107,1994,1,0,3,2,0
1994-091,107,1994,2,0,3,2,0
1994-092,107,1994,2,0,2,2,0
1994-093,107,1994,2,0,1,0,0
1995-002,107,1995,2,0,1,0,0
1995-003,107,1995,1,0,8,3,0
1995-005,107,1995,1,0,1,4,0
1995-006,107,1995,1,0,8,3,0
1995-007,107,1995,2,0,7,3,0
1995-008,107,1995,2,0,1,3,0
1995-010,107,1995,1,0,9,6,0
1995-011,107,1995,2,0,1,6,0
1995-012,107,1995,1,0,7,6,0
1995-013,107,1995,2,0,9,6,0
1995-014,107,1995,2,0,9,4,0
1995-015,107,1995,2,0,8,6,0
1995-016,107,1995,1,0,8,5,0
1995-018,107,1995,2,0,12,3,0
1995-019,107,1995,2,0,8,6,0
1995-020,107,1995,1,0,1,6,0
1995-021,107,1995,1,0,2,4,0
1995-022,107,1995,2,0,9,6,0
1995-023,107,1995,1,1,8,1,38
1995-024,107,1995,1,0,8,3,0
1995-025,107,1995,1,0,2,4,0
1995-027,107,1995,2,0,9,6,0
1995-028,107,1995,1,0,8,6,17
1995-029,107,1995,1,0,9,0,0
1995-030,107,1995,2,0,8,3,0
1995-031,107,1995,2,0,4,2,27
1995-032,107,1995,1,0,10,0,0
1995-033,107,1995,1,0,9,6,0
1995-034,107,1995,2,0,8,3,0
1995-035,107,1995,1,0,2,1,0
1995-036,107,1995,2,0,10,6,0
1995-037,107,1995,2,1,10,2,0
1995-038,107,1995,2,0,2,3,0
1995-039,107,1995,2,0,1,6,0
1995-040,107,1995,2,0,2,3,0
1995-041,107,1995,2,0,1,3,0
1995-042,107,1995,1,0,2,4,0
1995-043,107,1995,2,0,1,0,0
1995-044,107,1995,2,0,4,2,42
1995-045,107,1995,1,0,1,2,0
1995-046,107,1995,2,0,7,3,0
1995-047,107,1995,1,0,1,4,0
1995-048,107,1995,1,0,1,4,0
1995-049,107,1995,2,1,3,2,0
1995-050,107,1995,2,0,12,3,0
1995-051,107,1995,2,0,9,6,0
1995-052,107,1995,1,0,8,2,1
1995-053,107,1995,2,0,5,2,7
1995-054,107,1995,2,0,9,4,0
1995-055,107,1995,2,0,10,6,31
1995-056,107,1995,2,0,1,2,0
1995-057,107,1995,2,0,9,6,0
1995-058,107,1995,1,0,9,6,6
1995-059,107,1995,1,0,2,5,0
1995-060,107,1995,2,0,7,3,0
1995-061,107,1995,2,0,4,2,1
1995-062,107,1995,1,0,1,2,0
1995-063,107,1995,2,0,1,0,0
1995-064,107,1995,1,0,8,0,0
1995-065,107,1995,1,0,12,1,0
1995-066,107,1995,1,0,8,3,0
1995-067,107,1995,2,0,2,2,0
1995-068,107,1995,2,0,2,2,0
1995-069,107,1995,2,0,9,4,0
1995-070,107,1995,2,0,4,2,31
1995-071,107,1995,1,0,1,6,0
1995-072,107,1995,1,0,1,6,0
1995-074,107,1995,2,0,9,0,0
1995-075,107,1995,2,0,1,0,0
1995-076,107,1995,2,0,8,3,0
1995-077,107,1995,2,0,12,3,0
1995-078,107,1995,1,0,8,0,0
1995-079,107,1995,1,0,1,2,0
1995-080,107,1995,1,0,1,2,0
1995-081,107,1995,1,1,4,0,0
1995-082,107,1995,2,0,9,2,0
1995-084,107,1995,2,0,10,3,0
1995-085,107,1995,2,0,2,2,0
1995-086,107,1995,1,0,3,3,0
1995-087,107,1995,1,0,1,3,0
1995-088,107,1995,2,0,3,2,0
1995-089,107,1995,2,0,3,2,0
1995-090,107,1995,1,0,3,6,0
1995-095,107,1995,1,0,8,6,0
1995-096,107,1995,1,0,1,2,45
1996-001,107,1996,1,0,2,3,0
1996-002,107,1996,1,0,1,0,0
1996-003,107,1996,2,0,2,3,0
1996-004,107,1996,1,0,2,3,0
1996-005,107,1996,1,0,1,2,41
1996-006,107,1996,2,0,9,6,0
1996-007,107,1996,1,0,2,4,0
1996-008,107,1996,2,0,9,6,0
1996-009,107,1996,2,0,12,3,0
1996-010,107,1996,2,0,2,2,29
1996-011,107,1996,1,0,9,3,13
1996-012,107,1996,1,0,1,6,0
1996-013,107,1996,2,0,1,4,0
1996-014,107,1996,2,0,2,3,0
1996-015,107,1996,2,0,8,6,0
1996-016,107,1996,1,0,9,3,0
1996-017,107,1996,1,0,4,6,0
1996-018,107,1996,2,0,8,3,0
1996-019,107,1996,2,0,8,1,41
1996-020,107,1996,2,0,10,3,0
1996-021,107,1996,2,0,2,3,0
1996-022,107,1996,2,0,12,3,0
1996-023,107,1996,1,0,5,3,0
1996-024,107,1996,2,0,5,2,0
1996-026,107,1996,1,0,1,2,25
1996-027,107,1996,2,0,8,2,0
1996-028,107,1996,2,0,1,1,0
1996-029,107,1996,1,0,7,3,0
1996-030,107,1996,1,0,8,6,0
1996-031,107,1996,1,0,1,6,0
1996-032,107,1996,1,0,1,6,0
1996-033,107,1996,2,0,8,0,0
1996-034,107,1996,1,0,9,0,0
1996-035,107,1996,1,0,9,5,1
1996-036,107,1996,1,0,12,3,0
1996-037,107,1996,2,0,4,0,0
1996-038,107,1996,2,0,9,1,0
1996-039,107,1996,1,0,3,6,0
1996-040,107,1996,1,0,1,6,0
1996-041,107,1996,2,0,2,3,0
1996-042,107,1996,1,0,5,0,0
1996-043,107,1996,1,0,2,4,0
1996-044,107,1996,2,0,5,2,0
1996-045,107,1996,1,0,9,3,0
1996-046,107,1996,2,0,2,2,0
1996-047,107,1996,1,0,1,2,58
1996-048,107,1996,2,0,2,3,0
1996-049,107,1996,1,0,2,0,0
1996-050,107,1996,1,0,1,4,0
1996-051,107,1996,2,0,2,3,0
1996-052,107,1996,2,0,8,3,0
1996-053,107,1996,1,0,1,0,0
