justice,term,direction,precedentAlteration,issueArea,lawType,caseOriginState
113,2009,1,0,9,6,0
113,2009,1,0,9,1,0
113,2009,2,0,7,3,0
113,2009,1,0,1,3,0
113,2009,2,0,1,2,27
113,2009,2,0,1,9,0
113,2009,1,0,2,2,0
113,2009,1,0,2,1,0
113,2009,2,0,9,9,0
113,2009,2,0,1,2,55
113,2009,2,1,3,2,0
113,2009,1,0,1,3,0
113,2009,2,0,2,3,0
113,2009,2,0,1,9,0
113,2009,2,0,1,2,13
113,2009,2,0,9,6,0
113,2009,1,0,8,3,0
113,2009,1,0,1,2,0
113,2009,1,0,1,9,0
113,2009,1,0,1,2,25
113,2009,2,0,9,6,0
113,2009,1,0,1,2,12
113,2009,1,0,1,9,0
113,2009,2,0,2,3,0
113,2009,1,0,8,6,0
113,2009,2,0,1,6,0
113,2009,2,0,9,9,0
113,2009,2,0,6,3,0
113,2009,2,0,1,6,0
113,2009,2,0,9,4,0
113,2009,2,0,1,2,21
113,2009,1,0,8,6,0
113,2009,1,0,1,2,0
113,2009,1,0,8,3,0
113,2009,2,0,8,3,0
113,2009,1,0,8,6,0
113,2009,2,0,1,3,0
113,2009,2,0,3,2,0
113,2009,2,0,8,3,0
113,2009,2,0,2,6,0
113,2009,2,0,6,3,0
113,2009,2,0,3,6,0
113,2009,2,0,2,5,0
113,2009,2,0,1,2,12
113,2009,2,0,10,1,0
113,2009,1,0,1,2,12
113,2009,2,0,8,3,0
113,2009,2,0,2,3,0
113,2009,2,0,1,6,0
113,2009,2,0,6,3,0
113,2009,2,0,1,2,10
113,2009,2,0,1,3,0
113,2009,2,0,8,6,0
113,2009,1,0,8,5,0
113,2009,2,0,1,2,0
113,2009,1,0,10,6,0
113,2009,2,0,1,6,0
113,2009,1,0,1,6,0
113,2009,2,0,8,3,0
113,2009,2,0,9,4,0
113,2009,1,0,2,6,0
113,2009,2,0,2,3,0
113,2009,1,0,6,3,0
113,2009,2,0,9,6,0
113,2009,2,0,2,3,0
113,2009,1,0,9,3,0
113,2009,2,0,4,2,12
113,2009,1,0,1,2,0
113,2009,1,0,8,3,0
113,2009,1,0,1,6,0
113,2009,2,0,3,6,0
113,2009,2,0,7,6,0
113,2009,2,0,8,3,0
113,2009,1,0,8,3,0
113,2009,1,0,5,2,0
113,2009,1,0,7,3,0
113,2009,2,0,1,3,0
113,2009,2,0,1,6,0
113,2009,2,0,1,9,0
113,2009,1,0,13,1,0
113,2009,2,0,8,6,0
113,2009,1,0,3,2,0
