,lexisCite,term,justice,justiceName,direction,majority,majVotes,minVotes,issueArea,decisionDirection,caseOriginState,precedentAlteration,lawType
58811,1991 U.S. LEXIS 7062,1991,108,CThomas,1,2,9,0,9,1,12,0,5
58946,1992 U.S. LEXIS 378,1991,108,CThomas,1,2,9,0,1,1,17,0,2
59090,1992 U.S. LEXIS 1536,1991,108,CThomas,1,1,8,1,3,2,9,0,2
59099,1992 U.S. LEXIS 1535,1991,108,CThomas,2,2,9,0,8,2,27,0,1
59243,1992 U.S. LEXIS 2115,1991,108,CThomas,2,2,9,0,4,2,6,0,2
59279,1992 U.S. LEXIS 2549,1991,108,CThomas,2,2,9,0,10,2,20,0,6
59342,1992 U.S. LEXIS 2703,1991,108,CThomas,1,1,5,4,4,2,22,0,2
59351,1992 U.S. LEXIS 2701,1991,108,CThomas,1,1,7,2,1,2,33,0,2
59414,1992 U.S. LEXIS 3123,1991,108,CThomas,1,2,8,1,8,1,39,1,2
59423,1992 U.S. LEXIS 3253,1991,108,CThomas,1,2,8,1,8,1,1,0,1
59477,1992 U.S. LEXIS 3403,1991,108,CThomas,1,1,5,4,1,2,12,0,2
59513,1992 U.S. LEXIS 3541,1991,108,CThomas,2,2,9,0,9,2,31,0,2
59540,1992 U.S. LEXIS 3548,1991,108,CThomas,1,1,6,3,1,2,17,0,2
59558,1992 U.S. LEXIS 3682,1991,108,CThomas,2,1,5,4,8,1,35,0,1
59567,1992 U.S. LEXIS 3688,1991,108,CThomas,2,2,8,1,8,2,6,0,2
59576,1992 U.S. LEXIS 3687,1991,108,CThomas,2,2,7,2,2,2,13,0,2
59585,1992 U.S. LEXIS 3685,1991,108,CThomas,1,2,7,2,8,1,19,0,1
59621,1992 U.S. LEXIS 3694,1991,108,CThomas,2,2,6,3,8,2,58,0,6
59666,1992 U.S. LEXIS 3863,1991,108,CThomas,2,2,9,0,3,2,28,0,2
59675,1992 U.S. LEXIS 3696,1991,108,CThomas,1,2,7,2,4,1,6,0,2
59783,1992 U.S. LEXIS 4537,1991,108,CThomas,1,2,6,2,4,1,48,0,2
59792,1992 U.S. LEXIS 4750,1991,108,CThomas,2,2,6,3,1,2,12,0,2
59819,1992 U.S. LEXIS 7011,1992,108,CThomas,1,2,8,0,9,1,31,0,5
60071,1993 U.S. LEXIS 1781,1992,108,CThomas,1,2,7,2,1,1,27,0,6
60080,1993 U.S. LEXIS 1778,1992,108,CThomas,2,2,8,1,8,2,50,0,1
60260,1993 U.S. LEXIS 2555,1992,108,CThomas,2,2,9,0,2,2,23,0,6
60368,1993 U.S. LEXIS 3125,1992,108,CThomas,2,2,9,0,10,2,16,0,6
60458,1993 U.S. LEXIS 3191,1992,108,CThomas,2,2,9,0,3,2,46,0,2
