,justice,justiceName,majVotes,direction,minVotes,decisionDirection,majority,caseId,term,partyWinning,precedentAlteration,vote,issueArea
0,86,HHBurton,8,1,1,2,1,1946-001,1946,1,1,2,8
1,84,RHJackson,8,2,1,2,2,1946-001,1946,1,1,1,8
2,81,WODouglas,8,2,1,2,2,1946-001,1946,1,1,1,8
3,80,FFrankfurter,8,2,1,2,2,1946-001,1946,1,1,4,8
4,79,SFReed,8,2,1,2,2,1946-001,1946,1,1,1,8
5,78,HLBlack,8,2,1,2,2,1946-001,1946,1,1,1,8
6,85,WBRutledge,8,2,1,2,2,1946-001,1946,1,1,1,8
7,82,FMurphy,8,2,1,2,2,1946-001,1946,1,1,1,8
8,87,FMVinson,8,2,1,2,2,1946-001,1946,1,1,1,8
9,86,HHBurton,6,1,3,1,2,1946-002,1946,0,0,1,1
10,84,RHJackson,6,2,3,1,1,1946-002,1946,0,0,2,1
11,81,WODouglas,6,1,3,1,2,1946-002,1946,0,0,1,1
12,80,FFrankfurter,6,1,3,1,2,1946-002,1946,0,0,1,1
13,79,SFReed,6,1,3,1,2,1946-002,1946,0,0,1,1
14,78,HLBlack,6,2,3,1,1,1946-002,1946,0,0,2,1
15,85,WBRutledge,6,1,3,1,2,1946-002,1946,0,0,4,1
16,82,FMurphy,6,2,3,1,1,1946-002,1946,0,0,2,1
17,87,FMVinson,6,1,3,1,2,1946-002,1946,0,0,1,1
18,86,HHBurton,5,1,4,2,1,1946-003,1946,0,0,2,8
19,84,RHJackson,5,2,4,2,2,1946-003,1946,0,0,1,8
20,81,WODouglas,5,1,4,2,1,1946-003,1946,0,0,2,8
21,80,FFrankfurter,5,1,4,2,1,1946-003,1946,0,0,2,8
22,79,SFReed,5,1,4,2,1,1946-003,1946,0,0,2,8
23,78,HLBlack,5,2,4,2,2,1946-003,1946,0,0,1,8
24,85,WBRutledge,5,2,4,2,2,1946-003,1946,0,0,1,8
25,82,FMurphy,5,2,4,2,2,1946-003,1946,0,0,1,8
26,87,FMVinson,5,2,4,2,2,1946-003,1946,0,0,1,8
27,86,HHBurton,5,1,3,2,1,1946-004,1946,0,0,2,2
28,84,RHJackson,5,0,3,2,0,1946-004,1946,0,0,0,2
29,81,WODouglas,5,2,3,2,2,1946-004,1946,0,0,1,2
30,80,FFrankfurter,5,2,3,2,2,1946-004,1946,0,0,1,2
31,79,SFReed,5,1,3,2,1,1946-004,1946,0,0,2,2
32,78,HLBlack,5,2,3,2,2,1946-004,1946,0,0,4,2
33,85,WBRutledge,5,1,3,2,1,1946-004,1946,0,0,2,2
34,82,FMurphy,5,2,3,2,2,1946-004,1946,0,0,1,2
35,87,FMVinson,5,2,3,2,2,1946-004,1946,0,0,5,2
36,87,FMVinson,6,2,3,2,2,1946-005,1946,1,0,1,8
37,78,HLBlack,6,2,3,2,2,1946-005,1946,1,0,1,8
38,79,SFReed,6,1,3,2,1,1946-005,1946,1,0,2,8
39,80,FFrankfurter,6,1,3,2,1,1946-005,1946,1,0,2,8
40,81,WODouglas,6,2,3,2,2,1946-005,1946,1,0,1,8
41,82,FMurphy,6,2,3,2,2,1946-005,1946,1,0,1,8
42,84,RHJackson,6,1,3,2,1,1946-005,1946,1,0,2,8
43,85,WBRutledge,6,2,3,2,2,1946-005,1946,1,0,1,8
44,86,HHBurton,6,2,3,2,2,1946-005,1946,1,0,1,8
45,86,HHBurton,7,1,1,1,2,1946-006,1946,1,0,1,8
46,84,RHJackson,7,1,1,1,2,1946-006,1946,1,0,1,8
47,81,WODouglas,7,1,1,1,2,1946-006,1946,1,0,1,8
48,80,FFrankfurter,7,1,1,1,2,1946-006,1946,1,0,1,8
49,79,SFReed,7,1,1,1,2,1946-006,1946,1,0,1,8
50,78,HLBlack,7,2,1,1,1,1946-006,1946,1,0,2,8
51,85,WBRutledge,7,1,1,1,2,1946-006,1946,1,0,1,8
52,82,FMurphy,7,0,1,1,0,1946-006,1946,1,0,0,8
53,87,FMVinson,7,1,1,1,2,1946-006,1946,1,0,1,8
54,86,HHBurton,6,2,0,2,2,1946-007,1946,0,0,1,8
55,84,RHJackson,6,0,0,2,0,1946-007,1946,0,0,0,8
56,81,WODouglas,6,0,0,2,0,1946-007,1946,0,0,0,8
57,80,FFrankfurter,6,2,0,2,2,1946-007,1946,0,0,3,8
58,79,SFReed,6,0,0,2,0,1946-007,1946,0,0,0,8
59,78,HLBlack,6,2,0,2,2,1946-007,1946,0,0,1,8
60,85,WBRutledge,6,2,0,2,2,1946-007,1946,0,0,4,8
61,82,FMurphy,6,2,0,2,2,1946-007,1946,0,0,1,8
62,87,FMVinson,6,2,0,2,2,1946-007,1946,0,0,1,8
63,86,HHBurton,9,1,0,1,2,1946-008,1946,1,0,1,9
64,84,RHJackson,9,1,0,1,2,1946-008,1946,1,0,1,9
65,81,WODouglas,9,1,0,1,2,1946-008,1946,1,0,1,9
66,80,FFrankfurter,9,1,0,1,2,1946-008,1946,1,0,1,9
67,79,SFReed,9,1,0,1,2,1946-008,1946,1,0,1,9
68,78,HLBlack,9,1,0,1,2,1946-008,1946,1,0,1,9
69,85,WBRutledge,9,1,0,1,2,1946-008,1946,1,0,1,9
70,82,FMurphy,9,1,0,1,2,1946-008,1946,1,0,1,9
71,87,FMVinson,9,1,0,1,2,1946-008,1946,1,0,1,9
72,86,HHBurton,9,1,0,1,2,1946-009,1946,1,0,1,7
73,84,RHJackson,9,1,0,1,2,1946-009,1946,1,0,1,7
74,81,WODouglas,9,1,0,1,2,1946-009,1946,1,0,1,7
75,80,FFrankfurter,9,1,0,1,2,1946-009,1946,1,0,1,7
76,79,SFReed,9,1,0,1,2,1946-009,1946,1,0,1,7
77,78,HLBlack,9,1,0,1,2,1946-009,1946,1,0,1,7
