CaseId,Case,Details,Link
1953-069,Brown v. Board of Education,"School Segregation, Equal Protection",https://www.landmarkcases.org//cases/brown-v-board-of-education
1962-058,Dred Scott v. Sandford,"Slavery, Due Process, the Missouri Compromise",https://www.landmarkcases.org//cases/dred-scott-v-sandford
1987-019,Gibbons v. Ogden,"States Rights, Commerce Clause",https://www.landmarkcases.org//cases/gibbons-v-ogden
1960-133,Gideon v. Wainwright,"Right to Counsel, Due Process",https://www.landmarkcases.org//cases/gideon-v-wainwright
1965-122,Hazelwood v. Kuhlmeier,"Censorship, Student Press Rights",https://www.landmarkcases.org//cases/hazelwood-v-kuhlmeier
1984-022,Korematsu v. United States,"Japanese Internment, Equal Protection",https://www.landmarkcases.org//cases/korematsu-v-united-states
1977-147,Mapp v. Ohio,"Exclusionary Rule, Due Process",https://www.landmarkcases.org//cases/mapp-v-ohio
1972-048,Marbury v. Madison,"Judicial Review, Federalism",https://www.landmarkcases.org//cases/marbury-v-madison
1988-124,McCulloch v. Maryland,"State Taxes, National Supremacy",https://www.landmarkcases.org//cases/mcculloch-v-maryland
1968-043,Miranda v. Arizona,"Self-Incrimination, Due Process",https://www.landmarkcases.org//cases/miranda-v-arizona
1973-172,New Jersey v. T.L.O.,Student Search & Seizure,https://www.landmarkcases.org//cases/new-jersey-v-tlo
