CaseId,caseName,Details,Link,justice_106,justice_108,justice_109,justice_110,justice_111,justice_112,justice_113,justice_114,justice_115,predictedDirection,decisionDirection
1953-069,BROWN et al. v. BOARD OF EDUCATION OF TOPEKA et al.,"School Segregation, Equal Protection",https://www.landmarkcases.org/cases/brown-v-board-of-education,1,1,2,2,1,1,2,2,1,1,2.0
1962-058,"GIDEON v. WAINWRIGHT, CORRECTIONS DIRECTOR","Right to Counsel, Due Process",https://www.landmarkcases.org/cases/gideon-v-wainwright,1,1,2,1,1,1,2,2,1,1,2.0
1987-019,HAZELWOOD SCHOOL DISTRICT et al. v. KUHLMEIER et al.,"Censorship, Student Press Rights",https://www.landmarkcases.org/cases/hazelwood-v-kuhlmeier,1,1,2,2,1,1,2,2,1,1,1.0
1960-133,MAPP v. OHIO,"Exclusionary Rule, Due Process",https://www.landmarkcases.org/cases/mapp-v-ohio,1,2,2,1,1,1,1,2,1,1,2.0
1965-122,MIRANDA v. ARIZONA,"Self-Incrimination, Due Process",https://www.landmarkcases.org/cases/miranda-v-arizona,1,1,2,2,1,1,2,2,1,1,2.0
1984-022,NEW JERSEY v. T. L. O.,Student Search & Seizure,https://www.landmarkcases.org/cases/new-jersey-v-tlo,1,2,2,2,2,2,2,1,1,2,1.0
1977-147,REGENTS OF THE UNIVERSITY OF CALIFORNIA v. BAKKE,"Affirmative Action, Equal Protection",https://www.landmarkcases.org/cases/regents-of-the-u-of-california-v-bakke,1,1,2,2,1,1,2,1,1,1,1.0
1972-048,"ROE et al. v. WADE, DISTRICT ATTORNEY OF DALLAS COUNTY","Abortion, Right to Privacy",https://www.landmarkcases.org/cases/roe-v-wade,1,1,2,1,1,1,1,2,1,1,2.0
1988-124,TEXAS v. JOHNSON,"Flag Burning, Freedom of Speech",https://www.landmarkcases.org/cases/texas-v-johnson,1,1,2,2,1,1,2,2,1,1,2.0
1968-043,TINKER et al. v. DES MOINES INDEPENDENT COMMUNITY SCHOOL DISTRICT et al.,"Student Speech, Symbolic Speech",https://www.landmarkcases.org/cases/tinker-v-des-moines,1,1,2,2,1,1,2,2,1,1,2.0
1973-172,"UNITED STATES v. NIXON, PRESIDENT OF THE UNITED STATES, et al.","Watergate, Checks and Balances",https://www.landmarkcases.org/cases/united-states-v-nixon,1,1,2,1,1,1,2,1,1,1,1.0
